id,user_id,title,content,type,read,created_at,updated_at
44b0fa66-fffc-485e-b419-1cac2260c1eb,user-41,Amet minima ducimus perspiciatis.,"Himself wide have address write mother trade. Include write beyond these safe modern take.
Old apply capital. Thus he election room dinner manager. Listen girl week culture entire.",Association Request,False,2024-10-08T11:39:26.821302,2025-01-11T21:38:14.580959
0605489c-9fbb-4dbc-801a-035b2c32ae62,user-48,Debitis libero voluptas nobis sed nostrum.,"Space church agreement send fund book. Scene together wonder leg hold again experience. Room important like door.
Large amount behind can art worker position. Team away collection.",Association Request,True,2025-09-04T12:43:47.388052,2024-11-19T17:27:44.484995
d7847b61-5e90-4f7d-a6f2-f8d30da70889,user-13,With at with side test themselves.,Natus esse iste ipsum odit. Eligendi repudiandae numquam voluptatem aspernatur natus. Sunt enim aspernatur voluptates quaerat maiores.,System,False,2024-10-16T19:58:41.563094,2024-12-07T11:34:18.249966
4122599c-a17b-4d44-8f57-d94475b586c3,user-52,There they parent field his base.,Notice debate since reduce matter sister water. Range the smile view level. Partner character sign.,Association Request,True,2025-09-20T17:43:43.725833,2025-06-06T18:31:41.707592
5e5e1dd8-0cd2-41a7-ac1c-c17de9a9dab5,user-52,Benefit car so.,"Facere ratione ea esse.
Odit quod quas esse error. Placeat eaque voluptas quaerat.",Association Request,False,2025-04-22T18:34:56.292061,2025-09-21T22:41:02.431609
f147315a-ac5d-477d-83ae-490baa028945,user-85,College eye economy develop.,Bring art poor law part. Stock would administration evening information data than. Difference available young make meeting talk ability.,Association Request,False,2025-01-28T15:21:54.828747,2025-04-24T14:15:49.767816
56b9378d-903c-4bce-a9f2-7f6b4324ca27,user-98,Asperiores voluptatibus perferendis optio.,Necessitatibus iste repellendus excepturi vel quis aspernatur. Excepturi impedit blanditiis et hic. Inventore illum sed culpa.,Association Request,True,2025-03-24T18:25:38.244505,2025-05-04T23:24:18.233965
81ef6b63-788c-40a4-90eb-935a70d439c1,user-99,Sapiente eum consectetur.,Distinctio labore dolorum blanditiis repudiandae fugiat odio. Ipsum minima saepe enim beatae. Velit adipisci tempore neque voluptatem mollitia placeat.,System,False,2025-05-24T04:35:51.401654,2024-10-02T22:11:15.258023
83227a1e-80dc-43b2-ab15-7f2ae83072b6,user-1,Natus maxime maiores.,"Assumenda hic explicabo ipsum tempora eveniet vitae. Repudiandae ut culpa dolore explicabo magni.
Est ad neque.",System,False,2024-11-13T11:02:35.299858,2025-09-14T22:33:13.925832
45cf6925-32d9-4160-ba2d-60fcc45895cc,user-71,Consequuntur quasi ipsum consectetur odit.,Million market consider dream. Note evening thing life control difference cup. Nothing safe down fill five accept example.,Association Request,True,2025-01-03T16:07:59.597893,2025-05-12T07:14:44.032916
